ID,fact_check_url,news_url,title,Label
100000,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Spraying chlorine or alcohol on the skin kills viruses in the body""",Fake
100001,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Only older adults and young people are at risk""",Fake
100002,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Children cannot get COVID-19""",Fake
100003,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""COVID-19 is just like the flu""",Fake
100004,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Everyone with COVID-19 dies""",Fake
100005,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Cats and dogs spread coronavirus""",Fake
100006,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Face masks always protect against coronavirus""",Fake
100007,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Hand dryers kill coronavirus""",Fake
100008,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""SARS-CoV-2 is just a mutated form of the common cold""",Fake
100009,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You have to be with someone for 10 minutes to catch the virus""",Fake
100010,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Rinsing the nose with saline protects against coronavirus""",Fake
100011,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can protect yourself by gargling bleach""",Fake
100012,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Antibiotics kill coronavirus""",Fake
100013,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Thermal scanners can diagnose coronavirus""",Fake
100014,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Garlic protects against coronaviruses""",Fake
100015,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Parcels from China can spread coronavirus""",Fake
100016,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Home remedies can cure and protect against COVID-19""",Fake
100017,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can catch coronavirus from eating Chinese food in the US""",Fake
